Date,Open,High,Low,Close
"Nov 26, 2021",366.49,369.59,360.33,360.64
"Nov 29, 2021",367,380.89,366.73,379
"Nov 30, 2021",381.46,389.33,372.67,381.59
"Dec 1, 2021",386.9,390.95,363.59,365
"Dec 2, 2021",366.35,371,352.22,361.53
"Dec 3, 2021",361.6,363.53,333.4,338.32
"Dec 6, 2021",333.84,340.55,316.83,336.34
"Dec 7, 2021",348.07,352.56,342.27,350.58
"Dec 8, 2021",350.9,357.46,344.33,356.32
"Dec 9, 2021",353.55,354.16,334.12,334.6
"Dec 10, 2021",336.25,340.33,327.51,339.01
"Dec 13, 2021",333.7,335,317.14,322.14
"Dec 14, 2021",315,322.14,310,319.5
"Dec 15, 2021",317.74,326.25,309.42,325.33
"Dec 16, 2021",331.5,331.66,307.28,308.97
"Dec 17, 2021",304.92,320.22,303.01,310.86
"Dec 20, 2021",303.57,307.23,297.8,299.98
"Dec 21, 2021",305.62,313.17,295.37,312.84
"Dec 22, 2021",321.89,338.55,319.02,336.29
"Dec 23, 2021",335.6,357.66,332.52,355.67
"Dec 27, 2021",357.89,372.33,356.91,364.65
"Dec 28, 2021",369.83,373,359.47,362.82
"Dec 29, 2021",366.21,368,354.71,362.06
"Dec 30, 2021",353.78,365.18,351.05,356.78
"Dec 31, 2021",357.81,360.67,351.53,352.26
"Jan 3, 2022",382.58,400.36,378.68,399.93
"Jan 4, 2022",396.52,402.67,374.35,383.2
"Jan 5, 2022",382.22,390.11,360.34,362.71
"Jan 6, 2022",359,362.67,340.17,354.9
"Jan 7, 2022",360.12,360.31,336.67,342.32
"Jan 10, 2022",333.33,353.03,326.67,352.71
"Jan 11, 2022",351.22,358.62,346.27,354.8
"Jan 12, 2022",359.62,371.61,357.53,368.74
"Jan 13, 2022",369.69,371.87,342.18,343.85
"Jan 14, 2022",339.96,350.67,337.79,349.87
"Jan 18, 2022",342.2,356.93,338.69,343.5
"Jan 19, 2022",347.24,351.56,331.67,331.88
"Jan 20, 2022",336.58,347.22,331.33,332.09
"Jan 21, 2022",332.11,334.85,313.5,314.63
"Jan 24, 2022",301.59,311.17,283.82,310
"Jan 25, 2022",304.73,317.09,301.07,306.13
"Jan 26, 2022",317.48,329.23,302,312.47
